ID,dataset,backbone,LLM,comparator,effect_log_loss,CI_lo,CI_hi,raw_p,holm_p,effect_direction,holm_supported,llm_better_or_worse,hypothesis_membership_status,operationalization_status,source_artifact,source_sha256
D1_Junyi_SAKT_Mini_vs_CharLen,junyi,SAKT,gpt-4o-mini,CharacterLength,-0.0001182381049461,-0.0011610370014326,0.0009245607915403,0.7686451511638851,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_SAKT_5.4_vs_Std,junyi,SAKT,gpt-5.4,Standard,-0.0097800950025756,-0.0146852400553106,-0.0048749499498405,0.0052047572004292,0.1405284444115905,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_SAKT_5.4_vs_RandPermute,junyi,SAKT,gpt-5.4,Random-PermutedScore,-0.002453261750773,-0.0035302373247876,-0.0013762861767584,0.0031982802710121,0.0927501278593513,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_SAKT_5.4_vs_CharLen,junyi,SAKT,gpt-5.4,CharacterLength,-0.0037035696418273,-0.0048658364282241,-0.0025413028554306,0.0009012030298282,0.0297396999843309,LLM_WORSE,True,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_GRU_Mini_vs_Std,dbe_kt22,GRU,gpt-4o-mini,Standard,0.0017966072100374,-0.0023298416973707,0.0059230561174456,0.2932955499655669,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_GRU_Mini_vs_RandPermute,dbe_kt22,GRU,gpt-4o-mini,Random-PermutedScore,8.3979747124463e-05,-0.0002175581454919,0.0003855176397408,0.4825282539190834,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_GRU_Mini_vs_CharLen,dbe_kt22,GRU,gpt-4o-mini,CharacterLength,-8.07242828656074e-05,-0.0003284470330372,0.000166998467306,0.4167649998154283,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_GRU_5.4_vs_Std,dbe_kt22,GRU,gpt-5.4,Standard,0.0019288253099091,-0.0025094599583784,0.0063671105781967,0.2940615516857409,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_GRU_5.4_vs_RandPermute,dbe_kt22,GRU,gpt-5.4,Random-PermutedScore,0.0002161978469961,-0.0004260265113894,0.0008584222053817,0.4028769155386655,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_GRU_5.4_vs_CharLen,dbe_kt22,GRU,gpt-5.4,CharacterLength,5.149381700609856e-05,-0.0001440594641924,0.0002470470982046,0.5052380059718629,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_SAKT_Mini_vs_Std,dbe_kt22,SAKT,gpt-4o-mini,Standard,0.0001347922433718,-0.0001237906894985,0.0003933751762422,0.2213722534383053,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_SAKT_Mini_vs_RandPermute,dbe_kt22,SAKT,gpt-4o-mini,Random-PermutedScore,2.7848021678456016e-05,-9.770996212356792e-05,0.0001534060054804,0.5713404948496013,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_SAKT_Mini_vs_CharLen,dbe_kt22,SAKT,gpt-4o-mini,CharacterLength,-2.1656402365588524e-05,-0.0001112040582904,6.789125355930668e-05,0.5387112711785393,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_SAKT_5.4_vs_Std,dbe_kt22,SAKT,gpt-5.4,Standard,0.0001796615769217,3.989929998105088e-06,0.0003553332238454,0.0468911374076003,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_SAKT_5.4_vs_RandPermute,dbe_kt22,SAKT,gpt-5.4,Random-PermutedScore,7.271735522836886e-05,-0.0002093039823448,0.0003547386928015,0.5136292706368332,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_DBE_SAKT_5.4_vs_CharLen,dbe_kt22,SAKT,gpt-5.4,CharacterLength,2.3212931184324324e-05,-0.0001067150666083,0.000153140928977,0.6458855180213318,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
