seed,condition,rho_d_llm_d_gen,rho_d_llm_sim_error,rho_d_gen_sim_error,rank_agreement_llm_gen,mean_sim_error,review_precision,review_recall,review_ndcg
123,S5,0.5353443818826131,0.5384018148358655,0.9429756894996245,0.5353443818826131,0.21065240544012057,0.3,0.3,0.483757055563926
456,S0,0.9999999999999999,0.9625221516753297,0.9625221516753297,0.9999999999999999,0.3431340589831304,0.9,0.9,1.0
456,S1,0.9300470645796696,0.919577836752435,0.9797048704195334,0.9300470645796696,0.390671109047325,0.85,0.85,1.0
456,S2,0.6992829839712253,0.6838921689651258,0.9749752908452899,0.6992829839712253,0.35635965501008227,0.4,0.4,0.8022042952580214
456,S3,0.3633211587995772,0.35723373447504453,0.9735523367664122,0.3633211587995772,0.366396315008534,0.05,0.05,0.4442890232825731
456,S4,0.019548855136725406,0.04214138097573442,0.9619460511903688,0.019548855136725406,0.3408696272747177,0.05,0.05,0.1544806733590227
456,S5,0.508969816305611,0.47105031870693626,0.9472639697491582,0.508969816305611,0.23260591615960868,0.3,0.3,0.529379054334149
789,S0,0.9999999999999999,0.9617111989319229,0.9617111989319229,0.9999999999999999,0.35734104923374377,0.85,0.85,1.0
789,S1,0.9300470645796696,0.9134126923201816,0.9721973256709056,0.9300470645796696,0.406380115027613,0.85,0.85,1.0
789,S2,0.6992829839712253,0.6754002060794497,0.9674496347926049,0.6992829839712253,0.3714203524742929,0.45,0.45,0.8509874358253959
789,S3,0.3633211587995772,0.34047511870229047,0.9687135938393829,0.3633211587995772,0.3795372093525339,0.05,0.05,0.41823863262524996
789,S4,0.019548855136725406,0.002592900214009515,0.960773362184144,0.019548855136725406,0.3557141607080104,0.05,0.05,0.1216157027914457
789,S5,0.4794440484597699,0.4553278160501236,0.9260982509298189,0.4794440484597699,0.23288538104266984,0.2,0.2,0.49704076318582924
1001,S0,0.9999999999999999,0.9619237563676384,0.9619237563676384,0.9999999999999999,0.3690757934086637,0.85,0.85,1.0
1001,S1,0.9300470645796696,0.9140075713950753,0.9752476304241803,0.9300470645796696,0.41609026165266755,0.8,0.8,1.0
1001,S2,0.6992829839712253,0.663158993190491,0.9664413972959387,0.6992829839712253,0.38561329289006463,0.45,0.45,0.8146311478368572
1001,S3,0.3633211587995772,0.3183464674319141,0.9751465779190226,0.3633211587995772,0.3941775411112814,0.05,0.05,0.37089195274736414
1001,S4,0.019548855136725406,-0.00809703583698853,0.962189057165982,0.019548855136725406,0.36907816325923265,0.05,0.05,0.1216157027914457
1001,S5,0.4792749557564222,0.4497576261785692,0.9576296229896816,0.4792749557564222,0.23928102347224814,0.25,0.25,0.49704076318582924
2025,S0,0.9999999999999999,0.9604434450146981,0.9604434450146981,0.9999999999999999,0.349263885079293,0.85,0.85,1.0
2025,S1,0.9300470645796696,0.9121602297603693,0.9725571899223905,0.9300470645796696,0.3991713623999318,0.8,0.8,1.0
2025,S2,0.6992829839712253,0.6806450995179137,0.9705523300491125,0.6992829839712253,0.3713882147854066,0.4,0.4,0.8030505733381458
2025,S3,0.3633211587995772,0.3523385845542863,0.9785937108891205,0.3633211587995772,0.38017767854642975,0.05,0.05,0.4870138561973819
2025,S4,0.019548855136725406,0.01598170003970995,0.9612334705567996,0.019548855136725406,0.35356136676138283,0.05,0.05,0.1216157027914457
2025,S5,0.4956146096573339,0.4936401228977566,0.930455176908541,0.4956146096573339,0.24837217635238049,0.3,0.3,0.45985412670885184
314,S0,0.9999999999999999,0.96099580418209,0.96099580418209,0.9999999999999999,0.34672255197632523,0.85,0.85,1.0
314,S1,0.9300470645796696,0.9113019459655215,0.9780091299406223,0.9300470645796696,0.39458118730416947,0.85,0.85,1.0
314,S2,0.6992829839712253,0.687562610957924,0.974229528195309,0.6992829839712253,0.36171214588518835,0.5,0.5,0.7648975448915767
314,S3,0.3633211587995772,0.3196091253928494,0.9729954382497955,0.3633211587995772,0.37260211132728427,0.05,0.05,0.29002522849173873
314,S4,0.019548855136725406,-0.026777328592443715,0.9612455886751343,0.019548855136725406,0.3448321460596027,0.05,0.05,0.15636587549031428
314,S5,0.47622583249282985,0.4460158543863442,0.9498996839236553,0.47622583249282985,0.22950618057405944,0.3,0.3,0.49823876487423474
2718,S0,0.9999999999999999,0.9619746519619192,0.9619746519619192,0.9999999999999999,0.37031972285467774,0.85,0.85,1.0
2718,S1,0.9300470645796696,0.9161334247575227,0.9769793593832009,0.9300470645796696,0.41718792815672306,0.85,0.85,1.0
2718,S2,0.6992829839712253,0.6838669573984928,0.972565782609458,0.6992829839712253,0.3875482832931968,0.45,0.45,0.7968801585304668
2718,S3,0.3633211587995772,0.35668163530315355,0.9703391319728427,0.3633211587995772,0.3935874212647433,0.1,0.1,0.5906218550092559
2718,S4,0.019548855136725406,0.031586404805857816,0.9618108965747104,0.019548855136725406,0.3689033068734716,0.0,0.0,0.1941017404148383
2718,S5,0.4888220700486617,0.47907124366808956,0.9569530687221024,0.4888220700486617,0.2555310152626962,0.3,0.3,0.4924220067733029
1618,S0,0.9999999999999999,0.9625181811282661,0.9625181811282661,0.9999999999999999,0.3376682628735486,0.95,0.95,1.0
1618,S1,0.9300470645796696,0.9118624114788462,0.9813973155279541,0.9300470645796696,0.38606121525591364,0.85,0.85,1.0
1618,S2,0.6992829839712253,0.6623098053761927,0.9730087090324839,0.6992829839712253,0.3569428042749375,0.35,0.35,0.8918215824613649
1618,S3,0.3633211587995772,0.3527830054281141,0.9718475704055357,0.3633211587995772,0.36264087384748805,0.05,0.05,0.41823863262524996
1618,S4,0.019548855136725406,0.012890118087336599,0.9612847252744899,0.019548855136725406,0.33763870517567457,0.05,0.05,0.14539125957151283
1618,S5,0.527395466367176,0.4796490773239096,0.9371855273808491,0.527395466367176,0.22055297440207208,0.35,0.35,0.45985412670885184
